"Kanji","Meaning_JP","Meaning_EN","Meaning_ES","Meaning_FR","Meaning_DE","Meaning_IT","Meaning_TL","Meaning_PT","Meaning_TR","Meaning_AR","Meaning_SV","Meaning_NL","Meaning_PL","Meaning_NO","Meaning_HU","Meaning_HE","Meaning_RU","Meaning_LT"
"蔵","大切なものを心に秘め、必要な時に智慧や愛を惜しみなく分かち合う","Sharing wisdom and love stored in the heart.","Compartir la sabiduría y el amor guardados en el corazón.","Partager la sagesse et l'amour conservés dans le cœur.","Weisheit und Liebe teilen, die im Herzen bewahrt werden.","Condividere la saggezza e l’amore custoditi nel cuore.","Pagbabahagi ng karunungan at pag-ibig na nakatago sa puso.","Compartilhar sabedoria e amor guardados no coração.","Kalbimizde saklanan bilgelik ve sevgiyi paylaşmak.","مشاركة الحكمة والمحبة المختزنة في القلب.","Att dela visdom och kärlek som finns bevarad i hjärtat.","Wijsheid en liefde delen die in het hart bewaard zijn.","Dzielenie się mądrością i miłością przechowywaną w sercu.","Å dele visdom og kjærlighet som ligger i hjertet.","A szívben őrzött bölcsesség és szeretet megosztása.","לשתף חוכמה ואהבה השמורות בלב.","Делиться мудростью и любовью, хранящимися в сердце.","Dalintis išmintimi ir meile, saugoma širdyje."
"麻","素朴で強靭、自然と調和しながらしなやかに生きる力","A simple yet resilient strength in harmony with nature.","Una fuerza simple pero resistente en armonía con la naturaleza.","Une force simple mais résiliente en harmonie avec la nature.","Eine einfache, doch widerstandsfähige Kraft in Harmonie mit der Natur.","Una forza semplice ma resiliente in armonia con la natura.","Simpleng lakas na matatag at kaayon ng kalikasan.","Uma força simples porém resiliente em harmonia com a natureza.","Doğa ile uyum içinde basit ama dayanıklı bir güç.","قوة بسيطة لكنها متينة وفي تناغم مع الطبيعة.","En enkel men motståndskraftig styrka i harmoni med naturen.","Eenvoudige maar veerkrachtige kracht in harmonie met de natuur.","Prosta, lecz odporna siła w harmonii z naturą.","En enkel, men motstandsdyktig styrke i harmoni med naturen.","Egyszerű, mégis rugalmas erő a természettel összhangban.","כוח פשוט אך עמיד בהרמוניה עם הטבע.","Простая, но стойкая сила в гармонии с природой.","Paprasta, bet ištverminga jėga dermėje su gamta."
"宝","人生に輝きをもたらす、かけがえのない存在や価値","A precious presence that brings brilliance to life.","Una presencia preciosa que aporta brillo a la vida.","Une présence précieuse qui apporte de l'éclat à la vie.","Eine kostbare Präsenz, die dem Leben Glanz verleiht.","Una presenza preziosa che dona splendore alla vita.","Isang mahalagang presensya na nagbibigay-kinang sa buhay.","Uma presença preciosa que traz brilho à vida.","Hayata parlaklık katan değerli bir varlık.","وجود ثمين يضفي بريقًا على الحياة.","En dyrbar närvaro som skänker livet glans.","Een kostbare aanwezigheid die glans aan het leven geeft.","Cenna obecność, która nadaje życiu blask.","En verdifull tilstedeværelse som gir livet glans.","Értékes jelenlét, amely ragyogást ad az életnek.","נוכחות יקרה שמביאה ברק לחיים.","Драгоценное присутствие, приносящее блеск в жизнь.","Brangus buvimas, suteikiantis gyvenimui spindesio."
"葉","四季に揺れる葉のように、生命の循環を映す柔らかな心","A gentle heart reflecting the cycle of life, like leaves swaying through the seasons.","Un corazón suave que refleja el ciclo de la vida.","Un cœur doux reflétant le cycle de la vie.","Ein sanftes Herz, das den Kreislauf des Lebens widerspiegelt.","Un cuore gentile che riflette il ciclo della vita.","Malambot na pusong sumasalamin sa siklo ng buhay.","Um coração suave que reflete o ciclo da vida.","Yaşam döngüsünü yansıtan nazik bir kalp.","قلب لطيف يعكس دورة الحياة.","Ett milt hjärta som speglar livets cykel.","Een zacht hart dat de levenscyclus weerspiegelt.","Delikatne serce odzwierciedlające cykl życia.","Et mildt hjerte som gjenspeiler livets syklus.","Gyengéd szív, amely az élet körforgását tükrözi.","לב עדין המשקף את מחזור החיים.","Нежное сердце, отражающее цикл жизни, подобно листьям, качающимся по сезонам.","Švelni širdis, atspindinti gyvenimo ciklą, kaip lapai, siūbuojantys per metų laikus."
"聖","清らかな精神で、人々に導きと守護を与える存在","A pure spirit that guides and protects people.","Un espíritu puro que guía y protege a las personas.","Un esprit pur qui guide et protège les gens.","Ein reiner Geist, der Menschen führt und beschützt.","Uno spirito puro che guida e protegge le persone.","Purong diwa na gumagabay at nagpoprotekta.","Um espírito puro que guia e protege as pessoas.","İnsanları yönlendiren ve koruyan saf bir ruh.","روح نقية ترشد الناس وتمنحهم الحماية.","En ren ande som vägleder och beskyddar människor.","Een zuivere geest die mensen leidt en beschermt.","Czysty duch, który prowadzi i chroni ludzi.","En ren ånd som veileder og beskytter mennesker.","Tiszta lélek, amely vezet és védelmet nyújt.","נפש טהורה המדריכה ומגינה על אנשים.","Чистый дух, который направляет и защищает людей.","Tyra dvasia, kuri veda ir saugo žmones."
"留","大切なものを心に留め、忘れずに守り続ける誠実さ","Sincerity that keeps precious things in the heart.","Sinceridad que guarda lo valioso en el corazón.","Sincérité qui garde les choses précieuses dans le cœur.","Aufrichtige Treue, die Wertvolles im Herzen bewahrt.","Sincerità che conserva nel cuore ciò che è prezioso.","Tapat na puso na nag-iingat ng mahahalaga.","Sinceridade que guarda o que é precioso no coração.","Kıymetli şeyleri kalpte saklayan içtenlik.","إخلاص يحفظ الأشياء الثمينة في القلب.","Uppriktighet som bevarar det dyrbara i hjärtat.","Oprechtheid die het kostbare in het hart bewaart.","Szczerość, która przechowuje cenne rzeczy w sercu.","Ærlighet som bevarer det verdifulle i hjertet.","Őszinteség, amely őrzi a szívben a fontosat.","כנות השומרת על היקר בלב.","Искренность, которая хранит драгоценные вещи в сердце.","Nuoširdumas, saugantis brangius dalykus širdyje."
"富","豊かさを分かち合い、心と生活を満たす繁栄の象徴","A symbol of prosperity, sharing abundance and fulfillment.","Un símbolo de prosperidad que comparte abundancia.","Un symbole de prospérité qui partage l'abondance.","Ein Symbol des Wohlstands, das Fülle teilt.","Un simbolo di prosperità che condivide abbondanza.","Sagisag ng kasaganaan na nagbabahagi ng yaman.","Um símbolo de prosperidade que compartilha abundância.","Refahı ve bolluğu paylaşan bir sembol.","رمز للرخاء يشارك الوفرة.","En symbol för välstånd och överflöd.","Een symbool van voorspoed en overvloed.","Symbol dobrobytu dzielącego się obfitością.","Et symbol på velstand og overflod.","A jólét bőséget megosztó jelképe.","סמל לשפע ולשגשוג.","Символ процветания, делящийся изобилием и самореализацией.","Klestėjimo simbolis, dalijantis gausą ir pilnatvę."
"紫","神秘と高貴をまとい、深い精神性を表す色彩の心","A heart clothed in mystery and nobility, expressing deep spirituality.","Un corazón envuelto en misterio y nobleza.","Un cœur empreint de mystère et de noblesse.","Ein Herz voller Geheimnis und Adel.","Un cuore avvolto nel mistero e nella nobiltà.","Pusong nababalot ng hiwaga at kadakilaan.","Um coração envolto em mistério e nobreza.","Gizem ve soylulukla örtülü bir kalp.","قلب مغطى بالغموض والنبالة.","En hjärta fyllt av mystik och ädelhet.","Een hart vol mysterie en adel.","Serce pełne tajemnicy i szlachetności.","Et hjerte fylt av mysterium og edelhet.","Titokkal és nemességgel teli szív.","לב עטוף מסתורין ואצילות.","Сердце, облеченное в тайну и благородство, выражающее глубокую духовность.","Širdis, apgaubta paslapties ir kilnumo, išreiškianti gilią dvasinę būseną."
"紗","透ける布のように、柔らかく繊細な感性を持つ","Possessing a delicate sensibility, like a sheer soft fabric.","Con una sensibilidad delicada como un suave velo.","Avec une sensibilité délicate comme un tissu léger.","Mit einer zarten Sensibilität wie ein Schleiergewebe.","Con una delicata sensibilità come un velo leggero.","May banayad at maselang pakiramdam.","Com uma sensibilidade delicada como um tecido leve.","Hassas ve narin bir duyuşa sahip.","بحساسية رقيقة مثل قماش شفاف.","Med en mjuk och fin känslighet som ett tunt tyg.","Met een fijne en zachte gevoeligheid als een dunne stof.","Delikatna wrażliwość niczym lekka tkanina.","Med en delikat følsomhet som et tynt stoff.","Törékeny és lágy érzékenységgel bíró.","ברגישות עדינה כמו בד דק.","Обладание тонкой чувствительностью, подобно прозрачной мягкой ткани.","Turėti subtilų jautrumą, lyg skaidrų minkštą audinį."
"論","真理を探求し、言葉で人々を導く知恵の力","The power of wisdom guiding people through words.","El poder de la sabiduría que guía a las personas con palabras.","Le pouvoir de la sagesse qui guide les gens par les mots.","Die Kraft der Weisheit, die Menschen durch Worte führt.","La forza della saggezza che guida le persone con le parole.","Ang kapangyarihan ng karunungan na umaakay sa pamamagitan ng salita.","O poder da sabedoria que guia através das palavras.","Sözlerle insanları yönlendiren bilgelik gücü.","قوة الحكمة التي تهدي الناس بالكلمات.","Visdomen som vägleder människor genom ord.","De wijsheid die mensen door woorden leidt.","Mądrość prowadząca ludzi słowami.","Visdomens kraft som leder mennesker gjennom ord.","A bölcsesség hatalma, amely szavakkal vezet.","כוח החוכמה המנחה אנשים באמצעות מילים.","Сила мудрости, направляющая людей через слова.","Išminties galia, vedanti žmones per žodžius."
"樹","大地に根を張り、枝葉を広げて人々を守る安定と成長","Rooted in the earth, offering stability and growth.","Arraigado en la tierra, ofreciendo estabilidad y crecimiento.","Enraciné dans la terre, offrant stabilité et croissance.","In der Erde verwurzelt, bietet Stabilität und Wachstum.","Radicato nella terra, offrendo stabilità e crescita.","Nakaugat sa lupa, nagbibigay ng katatagan at paglago.","Enraizado na terra, oferecendo estabilidade e crescimento.","Yere kök salmış, istikrar ve büyüme sunan.","متجذر في الأرض، مانحًا الاستقرار والنمو.","Fast rotad i jorden och skänker stabilitet och tillväxt.","Vastgeworteld in de aarde, biedt stabiliteit en groei.","Głęboko zakorzenione, dające stabilność i wzrost.","Dypt forankret i jorden og gir stabilitet og vekst.","A földben gyökerezve stabilitást és növekedést ad.","משתרש באדמה ומעניק יציבות וצמיחה.","Укоренившись в земле, предлагая стабильность и рост.","Įsišaknijęs žemėje, teikiantis stabilumą ir augimą."
